S-Word;Val-Mn-All(Sentimientos);Aro-Mn-All (Intensidad)
violacion;1.11;7.98
muerto;1.17;5.99
asesinar;1.18;7.44
asesino;1.23;7.49
cancer;1.23;6.18
guerra;1.23;7.28
muerte;1.23;6.46
suicidio;1.24;6.80
tortura;1.24;7.47
accidente;1.32;7.58
ahogarse;1.32;7.61
masacre;1.32;7.01
paralisis;1.33;5.16
tumor;1.34;6.77
entierro;1.36;6.32
mutilar;1.36;7.01
maltrato;1.39;7.39
cadaver;1.41;6.87
bomba;1.42;7.79
lepra;1.42;6.91
sangriento;1.42;6.79
infeliz;1.43;4.73
miseria;1.47;5.57
asfixiarse;1.48;7.80
funeral;1.48;5.06
terrible;1.49;6.87
deprimido;1.50;4.19
destruccion;1.50;6.70
enfermedad;1.51;6.10
terrorista;1.51;7.33
panico;1.53;7.72
peste;1.53;6.20
traidor;1.53;6.83
pobreza;1.54;5.89
depresion;1.56;4.88
decepcionar;1.57;6.01
contaminar;1.58;6.56
jaqueca;1.58;4.38
traicionar;1.58;6.57
desastre;1.60;6.92
pena;1.60;4.80
sifilis;1.60;5.21
dolor;1.61;6.40
enfermo;1.61;4.50
esclavo;1.62;5.97
ataud;1.63;6.06
bancarrota;1.63;6.11
crimen;1.64;6.67
fracaso;1.64;5.51
putrefacto;1.64;5.36
tragedia;1.64;7.24
matanza;1.66;7.70
porqueria;1.66;5.37
trauma;1.66;5.86
agresion;1.67;6.88
angustiado;1.67;5.89
rapto;1.67;7.00
veneno;1.67;6.93
abandonado;1.68;5.88
gangrena;1.68;6.62
homicida;1.68;6.69
horror;1.68;6.89
humillar;1.68;6.42
infeccion;1.69;6.47
violento;1.69;7.06
infiel;1.70;6.81
pus;1.70;5.91
ulcera;1.70;5.71
menosprecio;1.72;5.80
falso ;1.73;6.17
agonia;1.74;6.20
atrocidad;1.74;6.68
desleal;1.74;5.92
odio;1.74;7.01
rehen;1.74;6.39
tumba;1.74;4.90
victima;1.74;6.37
quemadura;1.76;6.83
vomito;1.76;5.80
criminal;1.77;6.81
cruel;1.77;6.63
toxico;1.77;6.21
viruela;1.77;5.04
germenes;1.78;6.26
repugnante;1.78;5.82
lastima;1.79;5.62
dao;1.80;6.83
malvado;1.80;6.46
pesadilla;1.80;7.31
arma;1.81;6.26
asqueado;1.81;5.58
malaria;1.81;6.40
dolencia;1.83;5.69
estres;1.83;7.32
pistola;1.83;7.08
sarampion;1.84;4.96
asqueroso;1.86;6.13
fiebre;1.86;4.03
fraude;1.86;5.82
odiar;1.86;6.48
carcel;1.87;5.18
castigo;1.87;6.41
crucificar;1.87;6.26
escoria;1.87;5.53
guillotina;1.87;6.13
crisis;1.88;6.41
frustrado;1.88;5.10
maniaco;1.88;6.84
mentira;1.88;6.51
negligencia;1.88;6.06
engao;1.89;6.61
grave;1.89;6.83
indefenso;1.89;5.71
problema;1.89;6.56
brutal;1.90;6.68
piojos;1.90;6.32
hedor;1.91;5.62
podrido;1.91;5.16
sucio;1.91;5.62
deuda;1.92;6.09
lesion;1.92;5.69
rifle;1.92;6.26
irritar;1.93;6.34
ladron;1.93;6.98
mugre;1.93;5.21
descomposicion;1.94;4.99
rechazado;1.94;5.71
roa;1.94;5.38
afligido;1.96;4.41
agresivo;1.96;6.94
aterrorizado;1.96;6.79
flemon;1.96;5.36
pervertido;1.96;6.54
temor;1.96;6.90
zurra;1.96;6.63
piojo;1.97;5.64
despreciar;1.98;5.79
herido;1.98;6.73
impotente;1.98;5.58
multa;1.98;6.67
prision;1.98;5.56
suciedad;1.98;5.61
amenaza;1.99;7.10
inundacion;1.99;6.30
caos;2.00;7.02
desesperado;2.00;7.27
ignorancia;2.00;5.18
triste;2.00;4.33
alcoholico;2.01;5.70
bala;2.01;7.18
choque;2.01;6.93
mareado;2.01;5.33
soga;2.01;5.83
atracador;2.02;7.32
enfurecido;2.02;7.48
estiercol;2.02;4.64
peligro;2.02;7.56
agobiado;2.06;6.73
basura;2.06;4.31
bofetada;2.06;7.16
cementerio;2.06;5.01
pesimismo;2.06;4.61
arrogante;2.07;5.83
heridas;2.07;6.43
hospital;2.07;5.49
carroa;2.08;5.09
corrupto;2.08;6.14
fusil;2.08;6.41
malicia;2.08;6.02
culpa;2.09;6.46
destruir;2.09;6.29
inutil;2.09;5.19
ofender;2.10;5.96
perdedor;2.10;5.33
colera;2.11;7.58
egoista;2.12;6.04
famelico;2.12;5.82
chantaje;2.13;5.92
ciclon;2.13;6.34
penoso;2.13;5.31
revolver;2.13;7.01
fetido;2.14;5.31
desanimado;2.16;3.29
engreido;2.16;6.06
incomodidad;2.16;6.57
ria;2.16;6.99
molestia;2.17;6.00
detestar;2.18;5.77
espantoso;2.18;6.54
inseguro;2.18;6.29
pinchazo;2.18;6.69
disgustado;2.19;5.46
burla;2.20;6.21
enfadado;2.20;6.61
hostil;2.20;5.97
vencido;2.20;5.06
vertedero;2.20;4.81
desagrado;2.21;5.46
dificultar;2.21;6.21
maleducado;2.21;6.06
escorbuto;2.22;5.21
grosero;2.22;5.99
lloriqueo;2.22;5.96
deforme;2.23;5.22
tornado;2.24;6.94
caida;2.26;6.17
fastidiar;2.26;5.90
celos;2.27;6.87
demente;2.27;5.63
aplastado;2.28;5.59
divorcio;2.28;6.46
huracan;2.28;7.16
obesidad;2.28;5.22
perdido;2.28;6.18
incordio;2.29;5.83
resentirse;2.29;5.86
escopeta;2.32;6.33
aburrido;2.33;2.90
golpe;2.33;6.03
insulto;2.33;6.30
molestar;2.33;6.37
rabia;2.33;7.47
ambulancia;2.34;7.44
desventaja;2.34;5.37
culpable;2.36;6.19
intruso;2.36;6.64
tanque;2.39;6.04
asediado;2.40;6.18
lucha;2.40;6.67
adicto;2.41;5.77
ciego;2.41;5.21
rancio;2.41;4.72
avaricia;2.44;5.54
insolente;2.44;5.82
abrasador;2.46;6.00
avalancha;2.46;7.20
hastio;2.46;4.00
cansado;2.47;2.58
infierno;2.47;5.40
ejecucion;2.48;6.68
victimismo;2.48;5.90
ejercito;2.49;5.79
soso;2.49;3.99
vandalo;2.49;6.29
enfado;2.50;7.33
inferior;2.50;4.86
soledad;2.50;4.67
suburbio;2.50;5.32
avergonzado;2.51;5.59
obsceno;2.51;5.79
despedazar;2.52;6.29
invasor;2.52;6.96
ampolla;2.54;4.99
asustado;2.54;6.56
avispa;2.54;7.01
mosquito;2.54;5.84
cobarde;2.56;5.49
debil;2.56;4.99
idiota;2.56;5.11
cucaracha;2.57;6.14
disturbio;2.57;6.64
miedoso;2.57;6.09
neurotico;2.57;6.51
mucosidad;2.58;4.69
perverso;2.59;6.12
estupido;2.60;5.58
precipicio;2.60;6.91
apuros;2.61;6.86
fatigado;2.61;4.08
moho;2.61;4.87
error;2.62;6.40
follon;2.62;6.77
estancado;2.63;4.57
ruidoso;2.63;6.93
espina;2.64;5.80
desdeoso;2.66;4.76
furcia;2.66;4.86
rata;2.67;6.32
temeroso;2.67;6.22
solitario;2.68;4.40
desperdicio;2.70;4.52
diablo;2.70;6.17
presion;2.70;7.08
morgue;2.71;5.33
entrometido;2.72;6.07
distante;2.73;4.48
harto;2.73;5.78
tenso;2.73;7.12
caon;2.74;6.04
solo;2.76;3.61
chillido;2.78;6.78
confuso;2.78;5.78
obsesion;2.78;6.09
blasfemia;2.79;5.57
aborto;2.80;6.07
bestia;2.80;6.88
pleito;2.81;6.07
turbio;2.81;4.99
orina;2.82;4.64
vanidad;2.83;5.49
queja;2.84;5.67
retrasado;2.84;5.11
cuchillo;2.86;5.68
escorpion;2.86;7.13
inmoral;2.86;5.91
pesaroso;2.86;4.24
muleta;2.87;4.50
corte;2.88;6.00
bastardo;2.89;5.30
abrumado;2.90;5.36
demonio;2.91;6.47
hongo;2.91;4.90
mendigo;2.92;5.60
narcotico;2.92;5.71
piton;2.93;6.82
gusano;2.99;5.07
dentista;3.00;6.42
languido;3.00;3.49
sobrecogido;3.00;5.67
cicatriz;3.01;5.01
fofo;3.01;4.02
roto;3.02;5.46
pesar;3.04;5.41
araa;3.07;6.40
basto;3.07;4.57
serpiente;3.07;6.74
sospechoso;3.07;6.46
tiburon;3.07;7.38
cirugia;3.08;5.70
desden;3.08;5.00
feo;3.08;4.16
torpe;3.09;5.26
bulto;3.10;5.29
oxidado;3.11;3.97
hambriento;3.12;6.29
excusa;3.14;6.11
snob;3.14;5.12
vergonzoso;3.14;6.13
pellizco;3.17;5.89
abejas;3.18;6.59
aguja;3.18;5.66
inmaduro;3.18;5.10
tabaco;3.18;5.06
queroseno;3.19;5.04
frio;3.21;4.98
revuelta;3.23;6.64
insecto;3.24;5.57
puntapie;3.24;5.83
puta;3.24;5.46
nervioso;3.26;7.36
aspero;3.27;4.53
mutacion;3.27;5.24
nublado;3.27;3.61
gelido;3.28;4.97
tonto;3.30;4.57
desordenado;3.33;5.44
desertor;3.38;5.08
grito;3.39;7.42
lobrego;3.39;5.26
ponzoa;3.39;4.37
rigido;3.39;4.89
termita;3.40;5.04
acido;3.41;5.57
loco;3.41;6.67
reptil;3.41;6.08
granada;3.42;6.61
callejon;3.46;5.58
escandalo;3.47;6.32
afectar;3.48;5.61
vampiro;3.49;6.26
volcan;3.52;6.63
gordo;3.56;4.89
heroina;3.61;6.09
boxeador;3.62;5.02
perezoso;3.62;3.37
ansioso;3.63;7.70
esconder;3.63;5.28
daga;3.66;5.84
pecaminoso;3.66;5.57
estremecerse;3.67;6.17
tieso;3.68;4.38
